OverallCond,HeatingQC,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,SalePrice
5,5,158.8628762541806,2,3,4,2,4142895.0
8,5,117.24266072092159,2,3,3,2,3606405.0
5,5,165.9234485321442,2,3,4,2,4440945.0
5,4,159.51319212188778,1,3,4,3,2781800.0
5,5,204.19918246005204,2,4,4,3,4967500.0
5,5,126.53288740245263,1,1,3,2,2841410.0
5,5,157.37643998513565,2,3,4,2,6100090.0
6,5,194.1657376439985,2,3,3,2,3974000.0
5,4,164.80862133036047,2,2,3,2,2581113.0
6,5,100.05574136008919,1,2,3,1,2344660.0
5,5,96.61835748792271,1,3,3,1,2573165.0
5,5,215.90486807878113,3,4,5,3,6855150.0
6,3,84.726867335563,1,2,3,1,2861280.0
5,5,138.7959866220736,2,3,4,3,5553665.0
5,3,116.40654031958381,1,2,3,1,3119590.0
8,5,79.338535860275,1,2,3,2,2622840.0
7,5,93.27387588257155,1,2,3,2,2960630.0
5,3,120.40133779264215,2,2,3,2,1788300.0
5,5,103.49312523225568,1,3,4,2,3159330.0
6,3,124.3961352657005,1,3,3,1,2761930.0
5,5,220.73578595317727,3,4,4,3,6463711.0
7,5,102.93571163136382,1,3,4,1,2769878.0
5,5,166.759568933482,2,3,4,2,4570100.0
7,3,98.47640282422891,1,3,3,2,2581113.0
8,5,98.47640282422891,1,3,4,1,3059980.0
5,5,148.64362690449647,2,3,4,3,5092681.0
7,3,83.61204013377927,1,3,4,2,2678476.0
5,5,158.30546265328874,2,3,4,3,6080220.0
6,3,148.64362690449647,1,2,3,1,4123025.0
6,2,48.309178743961354,1,1,2,1,1361095.0
4,3,122.35228539576366,1,3,3,1,794800.0
6,4,114.08398364920104,1,3,4,1,2967584.5
5,5,114.64139725009291,2,3,4,2,3574613.0
5,4,157.9338535860275,1,4,4,2,3288485.0
5,5,145.02043849869938,2,2,5,2,5513925.0
5,5,227.79635823114086,3,4,4,3,6139830.0
5,5,101.9137866963954,1,3,3,2,2881150.0
6,4,120.49424005945745,1,3,3,2,3040110.0
7,3,98.19769602378298,1,3,4,1,2165830.0
5,3,107.02341137123746,2,2,2,0,1629340.0
5,5,123.00260126347084,2,3,3,2,3179200.0
6,4,123.37421033073208,1,2,3,1,3377900.0
7,4,82.1256038647343,1,2,4,2,2861280.0
6,3,87.14232627276107,1,3,3,1,2588067.5
6,5,106.83760683760684,1,3,3,1,2801670.0
5,5,162.76477146042365,2,2,5,2,6356413.0
5,5,199.64697138610182,1,1,4,2,4762560.82
5,5,153.84615384615387,2,3,4,3,4961539.0
5,4,134.89409141583056,2,2,3,0,2245310.0
7,5,88.72166480862134,1,3,3,1,2523490.0
6,4,136.56633221850615,2,3,3,2,3516990.0
6,3,109.25306577480491,1,3,3,2,2275115.0
5,3,75.80824972129321,1,2,3,2,2185700.0
5,4,171.12597547380156,0,0,4,3,7649950.0
5,3,126.34708286882201,1,3,3,2,2583100.0
5,4,132.3857302118172,2,3,3,2,3586535.0
5,5,161.5570419918246,2,3,4,2,3427575.0
5,5,159.7918989223337,2,3,4,2,3904455.0
5,5,273.5971757710888,3,3,4,3,8718558.6
7,5,72.46376811594203,1,2,3,1,2481763.0
5,5,107.58082497212932,1,3,4,2,3139460.0
7,3,103.21441843180975,1,3,2,1,2006870.0
5,5,127.27610553697511,2,2,4,2,4023675.0
6,4,158.8628762541806,2,3,3,2,2781800.0
5,5,188.96321070234114,2,3,4,2,4361465.0
5,5,229.74730583426236,2,4,4,3,6298790.0
5,3,205.03530286138982,2,3,3,2,3576600.0
5,5,137.40245261984393,2,3,4,2,4490620.0
6,3,69.3979933110368,1,2,3,1,1589600.0
4,3,212.46748420661464,2,3,3,2,4470750.0
6,5,206.52173913043478,2,3,3,2,4848280.0
6,3,78.50241545893721,1,2,3,2,2573165.0
5,4,159.6060943887031,2,3,3,2,3675950.0
7,4,100.89186176142698,1,3,3,2,2879163.0
6,4,149.10813823857302,2,3,3,1,2134038.0
5,3,91.78743961352657,1,2,3,1,1808170.0
7,5,88.44295800817541,1,2,3,1,2697352.5
5,3,119.37941285767373,1,2,3,1,2523490.0
5,3,164.2512077294686,2,4,3,0,2712255.0
6,4,114.26978818283166,1,2,3,2,2185700.0
6,3,198.99665551839465,2,4,4,1,3844845.0
5,5,124.21033073206986,2,2,3,2,3050045.0
5,5,145.20624303233,2,3,4,3,4868150.0
5,4,98.94091415830547,1,3,3,2,2513555.0
5,4,136.93794128576738,2,3,3,2,3348095.0
5,5,224.544778892605,2,4,4,2,5166200.0
5,5,144.92753623188406,2,3,4,2,3457380.0
5,5,113.71237458193981,2,2,4,2,3268615.0
2,3,141.76885916016352,1,2,2,0,1688950.0
5,5,91.9732441471572,1,3,3,0,2455932.0
5,3,96.61835748792271,1,2,3,2,2183713.0
3,3,114.73429951690822,1,2,3,2,1959182.0
7,5,89.55778520995914,1,2,3,2,3248745.0
6,5,212.8390932738759,2,4,3,2,2660593.0
5,5,165.9234485321442,2,3,4,2,4068382.5
8,4,136.56633221850615,2,3,3,2,3675950.0
5,5,147.52879970271275,2,3,4,2,4252180.0
5,3,89.18617614269789,1,3,3,1,1882682.5
5,2,77.5733927907841,1,2,3,1,1649210.0
5,2,113.80527684875511,1,3,3,0,2562236.5
7,4,149.5726495726496,2,3,4,2,4073350.0
5,3,160.90672612411743,2,3,4,2,3536860.0
5,3,142.6049795615013,2,4,3,2,2363814.68
5,5,113.89817911557043,2,3,4,3,3952143.0
4,5,168.89632107023414,1,4,3,1,3367965.0
5,5,185.0613154960981,2,3,4,2,4967500.0
7,4,97.26867335562989,1,2,3,1,1987000.0
5,5,73.29988851727983,1,2,3,1,2285050.0
7,3,140.93273875882574,2,3,2,0,2285050.0
6,5,171.3117800074322,2,3,3,2,3775300.0
4,4,172.3337049424006,2,4,3,1,2720203.0
5,5,132.85024154589374,2,3,3,2,3576600.0
5,5,250.46451133407658,2,4,5,3,7629483.9
5,3,209.86622073578596,2,3,4,2,4311790.0
8,5,215.5332590115199,2,3,4,1,5156265.0
5,4,135.45150501672242,2,2,3,2,3497120.0
5,3,101.44927536231884,1,3,3,1,2761930.0
5,4,104.51505016722409,1,2,3,2,3079850.0
5,4,299.33110367892976,3,5,4,3,6358400.0
5,5,135.2657004830918,2,3,4,2,3258481.3000000003
5,5,91.78743961352657,1,1,3,2,3576600.0
5,4,104.32924563359347,1,3,3,1,1987000.0
7,4,100.33444816053512,1,3,3,1,2702320.0
5,5,111.38981791155705,2,2,4,2,3057993.0
5,3,147.34299516908214,2,3,3,2,3596470.0
8,4,70.04830917874396,1,2,3,0,1679015.0
5,3,89.00037160906727,2,2,3,2,2543360.0
7,5,78.03790412486065,1,3,3,0,1728690.0
5,3,125.23225566703829,1,3,3,2,3079850.0
7,3,97.82608695652175,1,3,5,2,2980500.0
6,5,200.39018952062432,2,4,4,2,4490620.0
5,5,190.82125603864736,2,3,4,2,4848280.0
6,4,123.28130806391677,1,3,4,2,2995402.5
5,5,120.40133779264215,2,2,4,2,4371400.0
6,4,159.88480118914902,2,3,3,2,3576600.0
6,4,156.26161278335192,2,3,3,2,3457380.0
5,3,112.7833519137867,2,3,3,1,2841410.0
5,4,181.99554069119287,3,5,3,3,3397770.0
5,5,172.05499814195468,2,3,4,3,4570100.0
5,5,163.87959866220737,2,3,4,2,4599905.0
5,3,80.2675585284281,1,3,3,0,2285050.0
5,5,161.09253065774806,2,3,4,2,5166200.0
4,2,128.66963953920475,2,4,3,2,3298420.0
5,5,139.44630248978075,2,3,4,2,4053480.0
5,3,160.5351170568562,2,6,3,2,2483750.0
5,5,158.7699739873653,2,3,4,2,2583100.0
7,3,81.28948346339651,1,2,3,1,2086350.0
5,5,189.05611296915646,2,3,4,2,4421075.0
5,5,100.33444816053512,1,3,4,0,2801670.0
4,4,124.86064659977704,1,3,3,1,2285050.0
6,3,90.02229654403568,1,3,3,2,2424140.0
5,5,158.8628762541806,2,2,4,3,7399627.74
5,4,185.15421776291342,2,4,3,2,3775300.0
7,4,116.3136380527685,1,1,3,2,4669450.0
5,3,111.48272017837236,1,4,3,1,2483750.0
5,2,101.82088442958009,1,2,3,0,1569730.0
7,3,96.61835748792271,1,2,3,2,2175765.0
5,5,182.83166109253068,2,4,5,3,5354965.0
5,5,180.88071348940915,2,3,4,2,5064863.0
5,5,228.72538089929395,2,4,4,2,6358400.0
6,3,114.45559271646229,2,3,3,2,3228875.0
5,5,247.8632478632479,2,3,5,3,8196375.0
5,5,143.16239316239316,2,3,4,2,4371400.0
6,5,81.93979933110369,1,1,3,0,2050584.0
7,4,150.13006317354143,2,3,4,1,3020240.0
7,4,125.88257153474545,2,4,3,0,2533425.0
5,5,173.44853214418433,1,2,3,1,3775300.0
5,5,200.76179858788555,1,3,5,3,6470148.88
5,5,159.7918989223337,2,3,4,2,3646145.0
6,3,158.5841694537347,2,2,3,2,4530360.0
6,3,128.39093273875883,1,2,3,2,2553295.0
5,2,153.84615384615387,1,3,3,2,4272050.0
7,4,164.1583054626533,2,2,4,2,4748930.0
5,3,126.53288740245263,1,3,3,2,3238810.0
5,3,153.3816425120773,2,3,3,2,3656080.0
7,3,200.48309178743963,2,4,4,2,4828410.0
5,3,191.37866963953923,2,4,3,2,4192570.0
5,5,178.37235228539578,2,4,4,2,3427575.0
5,5,207.54366406540322,2,1,5,3,9971501.190000001
6,3,89.92939427722037,1,2,3,2,1987000.0
5,5,141.6759568933482,2,3,4,2,3516990.0
6,4,167.40988480118915,1,4,3,1,3975987.0
6,5,124.4890375325158,1,3,3,1,2384400.0
5,5,193.42251950947605,2,3,4,2,3974000.0
8,4,116.3136380527685,1,3,3,2,2523490.0
9,5,335.19137866963956,2,4,5,3,9438250.0
5,5,113.06205871423263,2,3,4,2,3437510.0
7,5,153.84615384615387,2,3,3,1,2682450.0
5,3,113.71237458193981,0,2,3,2,3046806.19
5,5,147.9933110367893,1,0,5,2,5682820.0
8,3,253.34448160535118,2,3,4,2,6259050.0
9,4,137.40245261984393,1,4,4,2,3656080.0
5,5,132.94314381270902,2,3,4,2,3815040.0
5,5,158.7699739873653,2,3,4,2,2583100.0
7,3,80.2675585284281,1,3,3,1,2523490.0
6,3,135.2657004830918,2,3,3,2,2950695.0
5,5,160.34931252322556,2,3,5,3,6196896.640000001
4,4,289.11185432924566,2,4,4,2,4669450.0
6,5,207.07915273132664,1,5,3,0,2066480.0
5,5,159.14158305462655,2,3,5,3,5462263.0
5,5,104.14344109996284,2,2,3,2,2781800.0
6,3,118.82199925678188,2,3,3,2,3407705.0
6,4,121.7019695280565,2,2,3,1,2225440.0
5,5,78.78112225938314,1,1,4,2,2960630.0
7,3,119.28651059085843,1,2,3,1,2185700.0
5,5,133.96506874767746,2,3,3,2,3586535.0
5,3,157.56224451876628,1,3,3,1,2859293.0
5,3,102.19249349684132,1,3,3,1,2801670.0
5,5,191.56447417316983,2,3,3,2,5503990.0
7,5,101.44927536231884,1,3,3,2,2881150.0
6,3,80.2675585284281,1,2,3,0,1947260.0
5,5,112.59754738015609,2,3,4,2,3695820.0
5,5,172.05499814195468,2,3,4,2,5020711.86
5,5,91.9732441471572,1,3,3,2,3099720.0
7,5,129.31995540691193,1,3,3,1,3213972.5
6,3,114.82720178372352,1,2,4,1,2671521.5
5,5,133.4076551467856,2,3,4,2,4172700.0
4,2,123.37421033073208,1,3,3,1,2126090.0
9,5,181.53102935711632,1,3,4,2,6189505.0
5,5,115.94202898550725,2,2,4,2,3323058.8000000003
5,5,139.16759568933483,2,2,4,2,4071363.0
5,5,210.60943887030845,2,4,4,2,3974000.0
6,3,144.1843180973616,2,3,3,2,3574613.0
6,4,80.2675585284281,1,2,3,2,1927390.0
5,5,222.22222222222223,2,3,5,3,7674787.5
5,3,120.95875139353402,2,3,3,1,2225440.0
5,5,234.11371237458195,2,4,4,3,5762300.0
6,3,91.69453734671127,1,2,3,1,2106220.0
5,3,84.726867335563,1,3,3,1,2483750.0
5,5,144.46302489780751,2,2,4,2,3824975.0
6,3,110.9253065774805,1,3,3,1,2940760.0
5,5,259.56893348197696,2,4,5,3,8007610.0
5,3,91.69453734671127,1,2,3,1,1877715.0
6,3,83.05462653288741,1,3,3,1,2547334.0
5,5,182.0884429580082,2,4,4,2,4301855.0
3,3,91.69453734671127,1,2,3,1,1778365.0
5,5,131.36380527684875,2,3,4,2,3685885.0
7,5,162.02155332590115,2,3,4,2,3864715.0
5,5,157.37643998513565,2,3,4,3,6318660.0
4,3,138.14567075436642,1,3,3,1,2245310.0
5,5,145.48494983277592,2,3,4,2,5215875.0
9,4,80.45336306205871,1,2,4,0,2195635.0
4,4,133.77926421404683,1,3,3,1,1569730.0
6,3,113.06205871423263,1,3,3,1,2384400.0
5,5,196.02378298030473,2,3,4,2,4073350.0
5,4,173.91304347826087,2,3,3,2,4798605.0
8,4,179.11557041991827,2,4,2,1,2722190.0
5,5,127.74061687105166,1,2,3,2,2781800.0
5,5,154.96098104793757,2,3,4,2,3576600.0
7,4,199.18246005202528,2,4,4,2,5503990.0
2,5,121.33036046079525,1,3,2,0,1520055.0
5,5,150.96618357487924,2,2,4,2,4669450.0
5,5,152.35971757710888,2,3,4,2,3437510.0
7,5,120.95875139353402,2,3,4,1,3139460.0
6,3,122.07357859531773,1,3,3,1,2881150.0
5,5,212.8390932738759,2,4,4,2,4570100.0
5,5,160.5351170568562,2,3,4,2,4123025.0
5,5,149.01523597175773,2,3,4,2,4371400.0
5,5,166.48086213303606,2,3,4,2,4599905.0
5,4,81.93979933110369,1,2,3,1,1927390.0
5,3,128.39093273875883,1,3,3,2,3497120.0
5,5,239.13043478260872,2,3,5,3,5484120.0
7,3,112.59754738015609,1,3,3,2,3000370.0
7,3,122.25938312894836,1,3,3,2,2583100.0
5,4,70.97733184689707,1,2,3,2,1450510.0
6,3,132.10702341137124,2,3,4,2,3487185.0
5,4,140.37532515793387,2,3,3,2,3675950.0
8,5,203.64176885916018,2,4,4,1,3566665.0
6,5,72.27796358231141,1,2,3,1,2394335.0
7,3,103.40022296544036,1,3,3,1,2940760.0
5,4,180.13749535488668,2,3,4,3,5285420.0
7,5,126.62578966926793,1,2,3,2,4798605.0
7,5,210.88814567075437,2,4,4,3,5762300.0
6,4,151.61649944258642,2,3,3,1,2761930.0
7,3,75.80824972129321,1,2,3,1,2473815.0
7,4,143.81270903010034,2,3,5,2,4073350.0
5,5,144.92753623188406,2,3,4,2,3993870.0
5,5,80.2675585284281,1,2,3,2,2801670.0
5,5,197.04570791527314,2,3,5,3,8251971.260000001
5,5,187.84838350055742,2,4,3,2,3815040.0
6,4,184.132292827945,2,3,4,2,4540295.0
5,4,117.24266072092159,2,2,4,2,3675950.0
5,5,122.07357859531773,2,2,4,2,4123025.0
5,5,136.38052768487552,2,3,4,3,4860202.0
5,4,146.32107023411373,2,2,4,2,3560704.0
5,5,116.12783351913788,2,2,4,2,3272589.0
7,3,161.09253065774806,1,3,4,2,3159330.0
4,3,79.71014492753623,1,3,3,0,1748560.0
5,3,83.61204013377927,1,3,3,1,2424140.0
7,5,129.6915644741732,1,3,3,1,3051535.25
5,5,178.27945001858046,2,3,4,2,4634280.100000001
6,5,159.42028985507247,2,6,2,0,2700333.0
4,4,159.42028985507247,1,3,3,1,2602970.0
7,2,210.23782980304722,2,3,4,2,4669450.0
5,3,152.73132664437014,1,3,3,2,3318290.0
6,3,93.18097361575623,1,3,3,2,2831475.0
5,3,144.74173169825346,1,4,3,1,3020240.0
5,5,181.1594202898551,2,3,4,2,4748930.0
6,4,161.92865105908587,1,3,3,2,3477250.0
8,5,107.02341137123746,1,3,4,1,3149395.0
5,3,124.11742846525456,1,2,3,1,3119590.0
5,5,227.79635823114086,2,4,4,2,5305290.0
5,5,143.16239316239316,2,3,4,3,4073350.0
7,3,83.05462653288741,1,3,3,2,2978513.0
9,5,324.5076179858789,3,3,4,3,5861650.0
5,5,185.8045336306206,2,3,4,3,6078233.0
5,4,208.379784466741,2,4,4,3,4470750.0
7,3,130.6205871423263,1,3,2,0,1778365.0
5,5,79.98885172798217,1,1,3,2,1639275.0
5,5,180.60200668896323,2,3,5,3,7153200.0
5,4,139.44630248978075,2,3,4,2,3290472.0
6,5,90.30100334448161,1,2,3,1,2622840.0
7,3,103.86473429951691,1,3,3,2,2382413.0
5,3,189.14901523597177,2,3,3,2,7451250.0
7,5,152.4526198439242,1,3,5,2,3536860.0
5,5,133.03604607952434,2,3,4,2,3745495.0
7,3,218.59903381642513,2,4,5,2,5166200.0
5,5,181.99554069119287,2,3,4,3,5364900.0
5,5,245.81939799331104,2,4,4,3,5166200.0
5,3,136.75213675213675,2,3,3,2,3725625.0
5,5,241.17428465254554,3,4,4,3,6808316.41
5,5,229.28279450018582,2,4,4,3,7033980.0
5,5,253.62318840579712,2,4,4,2,5980870.0
8,5,108.04533630620588,1,3,3,1,2507097.25
7,5,276.66295057599405,2,5,4,2,4808540.0
6,1,74.60052025269417,1,2,3,2,1728690.0
5,5,159.6989966555184,1,1,4,2,6437880.0
5,3,128.48383500557415,1,3,3,1,2886117.5
6,4,198.25343738387218,2,5,4,2,4262115.0
5,3,110.73950204384988,1,3,3,1,1549860.0
4,3,160.5351170568562,2,6,3,1,2364530.0
6,2,98.10479375696768,1,3,3,1,2761930.0
5,5,151.33779264214047,2,3,4,3,5643080.0
5,5,126.16127833519138,2,2,4,2,4113090.0
5,4,152.17391304347828,2,3,3,2,3815040.0
6,5,165.9234485321442,2,3,3,2,4549236.5
5,5,178.5581568190264,2,3,4,3,7499454.62
5,5,142.6978818283166,2,3,4,2,4252180.0
7,5,150.594574507618,2,3,4,2,4023675.0
7,3,112.87625418060202,1,3,3,1,3079850.0
5,5,177.25752508361205,2,4,4,2,4031623.0
4,4,78.13080639167596,1,2,3,1,1629340.0
4,2,96.61835748792271,2,2,3,2,1738625.0
5,5,156.44741731698255,2,2,5,2,5285420.0
3,3,103.30732069862505,1,3,3,1,1688950.0
5,4,146.50687476774434,1,3,2,1,2785774.0
8,3,89.00037160906727,1,2,3,1,3010305.0
5,5,137.3095503530286,2,3,3,2,3129525.0
5,5,151.05908584169455,2,2,4,2,3059980.0
5,5,253.4373838721665,2,4,5,3,8686249.98
5,5,173.63433667781496,2,2,5,2,6319872.07
5,4,134.98699368264587,1,2,4,2,3775300.0
6,3,103.21441843180975,1,3,3,1,1887650.0
8,4,66.88963210702342,1,2,3,2,2104233.0
5,5,148.17911557041992,1,2,3,1,2781800.0
5,5,111.48272017837236,2,3,4,2,3526925.0
6,4,108.41694537346712,2,3,4,2,3437510.0
5,3,106.09438870308436,1,3,3,2,2662580.0
4,5,125.60386473429952,1,3,4,1,2583100.0
5,5,178.743961352657,2,3,4,2,5563600.0
6,5,84.726867335563,1,2,3,2,3099720.0
5,4,139.817911557042,1,3,3,1,2881150.0
5,5,178.5581568190264,3,4,4,2,3944195.0
8,4,91.69453734671127,1,2,4,1,2344660.0
5,3,146.22816796729842,2,3,3,2,3775300.0
7,4,124.86064659977704,1,3,3,1,2920890.0
5,4,129.50575994054256,1,3,3,2,3159330.0
5,4,132.94314381270902,1,3,3,1,3278550.0
6,4,117.80007432181345,1,2,3,1,2622840.0
7,5,119.56521739130436,1,3,4,2,3218940.0
5,5,154.58937198067633,2,3,3,2,3425588.0
4,3,147.52879970271275,2,4,3,2,2671163.8400000003
5,3,69.86250464511335,1,2,3,1,2483750.0
6,3,122.53808992939429,1,3,3,1,2444010.0
5,5,179.11557041991827,2,4,4,2,4361465.0
1,4,83.9836492010405,0,1,2,0,1212070.0
5,5,84.91267186919362,1,2,3,2,2940760.0
5,5,229.09698996655518,3,4,4,2,6755800.0
2,5,172.42660720921592,1,1,5,3,7837363.840000001
5,5,167.22408026755855,2,3,3,2,3556730.0
6,3,157.09773318468973,2,3,4,1,2523490.0
5,5,120.8658491267187,2,2,4,2,3730592.5
5,5,166.9453734671126,2,3,4,2,4242245.0
3,3,72.83537718320328,1,2,3,2,1510120.0
5,5,181.438127090301,2,3,4,2,4768800.0
5,5,117.89297658862877,2,2,4,2,3815040.0
3,3,109.99628390932739,1,5,3,0,1609470.0
6,5,104.51505016722409,1,3,3,1,2483750.0
5,5,137.40245261984393,2,3,4,2,3795170.0
5,5,216.64808621330363,2,3,5,3,8464620.0
8,5,126.99739873652918,1,4,3,1,2364530.0
5,5,182.1813452248235,2,3,4,2,4272050.0
7,3,81.93979933110369,1,3,3,1,2116155.0
5,3,73.20698625046451,1,2,3,0,1987000.0
6,4,96.06094388703085,1,2,3,1,2165830.0
6,3,106.28019323671498,1,3,3,1,2563230.0
5,3,83.05462653288741,1,2,3,2,2444010.0
5,3,168.33890746934227,2,4,3,1,3367965.0
2,4,100.05574136008919,1,2,3,1,1331290.0
5,5,143.99851356373097,2,2,4,2,4788670.0
5,5,119.65811965811966,1,1,5,2,4878085.0
5,5,121.7019695280565,2,3,4,2,3278351.3000000003
8,5,62.43032329988852,1,2,3,1,2145960.0
5,4,210.23782980304722,2,4,4,2,5126460.0
5,4,146.0423634336678,2,3,3,2,3338160.0
4,5,150.5016722408027,2,3,3,2,2980500.0
5,5,152.2668153102936,1,3,3,1,2285050.0
7,5,156.0758082497213,2,4,3,1,3516990.0
5,5,201.78372352285396,2,3,4,3,5563600.0
5,5,193.0509104422148,2,3,5,3,6750832.5
3,3,118.54329245633595,1,3,3,1,1192200.0
5,3,98.10479375696768,1,3,3,2,2881150.0
5,5,137.3095503530286,2,2,4,2,4411140.0
6,4,95.50353028613898,1,2,3,2,2285050.0
5,5,194.8160535117057,2,3,4,3,4530360.0
5,5,124.4890375325158,2,3,4,2,3599132.58
7,3,130.06317354143442,1,3,3,2,2970565.0
6,3,243.77554812337422,2,4,3,3,4748930.0
6,2,105.35117056856188,1,3,3,1,2503620.0
6,5,98.10479375696768,1,3,3,1,2821540.0
5,5,124.86064659977704,2,2,3,4,4099181.0
7,4,148.8294314381271,2,3,4,2,4272050.0
5,5,91.78743961352657,1,2,3,2,2245310.0
5,4,244.33296172426608,2,4,4,3,6259050.0
5,4,111.11111111111111,1,2,3,1,2761930.0
8,4,129.041248606466,1,3,3,1,2682450.0
5,4,152.73132664437014,2,2,4,2,5464250.0
6,5,84.26235600148644,1,3,3,1,2165988.96
5,5,112.22593831289484,2,2,4,2,3882598.0
5,3,131.17800074321815,2,3,4,2,3477250.0
5,3,91.69453734671127,1,2,3,1,1696898.0
7,4,111.29691564474174,1,4,3,0,1587613.0
5,5,126.81159420289856,1,2,3,2,2434075.0
5,5,149.01523597175773,2,3,3,2,3596470.0
7,4,58.52842809364549,1,1,3,0,1609470.0
6,5,154.31066518023042,2,3,4,2,4212440.0
8,3,103.86473429951691,1,2,3,2,2304920.0
7,4,83.9836492010405,1,2,3,1,2364530.0
6,3,64.47417316982535,1,2,4,1,1795254.5
8,4,111.11111111111111,1,3,4,2,2185700.0
5,5,223.15124489037535,2,2,5,3,11027850.0
4,3,133.77926421404683,2,4,2,0,2344660.0
7,3,146.1352657004831,2,3,3,2,3236823.0
5,5,116.87105165366036,2,2,4,3,3427575.0
5,5,177.25752508361205,2,4,4,2,4172700.0
5,2,156.9119286510591,1,3,3,2,2533425.0
6,5,175.39947974730583,2,2,4,2,3775300.0
5,4,175.21367521367523,2,4,4,2,3972013.0
6,3,127.83351913786697,2,3,3,1,2374465.0
7,5,109.90338164251209,1,2,3,1,2384400.0
8,5,75.52954292084728,1,2,4,1,2185700.0
5,3,142.4191750278707,2,2,4,2,5563600.0
5,5,163.13638052768488,2,3,3,2,4053480.0
5,5,147.71460423634338,2,3,4,2,4172700.0
5,3,160.5351170568562,2,4,3,2,3735560.0
6,2,115.38461538461539,1,3,3,2,3487185.0
5,2,124.86064659977704,1,4,3,3,1947260.0
6,5,154.49646971386102,1,2,4,2,5086720.0
7,2,154.77517651430696,1,3,4,1,3199070.0
4,3,111.76142697881829,1,3,4,1,2185700.0
5,5,179.76588628762542,2,3,3,2,5234453.45
9,5,105.44407283537718,1,3,4,2,3079850.0
5,4,80.2675585284281,1,3,3,1,1239550.21
7,2,154.2177629134151,1,3,3,1,3749469.0
5,3,96.61835748792271,2,3,3,0,2463880.0
5,5,131.36380527684875,2,2,4,2,3551563.8000000003
5,3,118.63619472315125,1,2,3,2,3318290.0
7,5,152.73132664437014,1,3,4,1,2910955.0
5,5,151.80230397621702,2,3,4,3,4967500.0
5,5,158.8628762541806,2,3,4,2,3715690.0
5,3,139.53920475659606,1,1,4,2,4212440.0
6,3,182.92456335934597,2,3,3,2,3775300.0
5,5,99.59123002601264,1,2,3,2,2940760.0
5,5,183.57487922705315,2,2,4,3,8742800.0
5,5,153.4745447788926,2,2,5,2,4987370.0
6,3,90.11519881085098,1,2,3,2,2632775.0
5,5,138.70308435525828,2,3,4,2,4150843.0
5,5,245.54069119286513,2,3,5,3,7550600.0
5,5,159.6060943887031,2,3,4,3,5901390.0
7,3,105.07246376811595,1,2,3,2,1777788.77
5,5,171.86919360832405,2,3,4,3,6477620.0
5,5,166.48086213303606,2,2,5,3,7431380.0
8,5,169.6395392047566,1,4,5,1,3079850.0
5,5,112.96915644741732,2,2,3,2,3258680.0
7,4,92.80936454849498,1,3,4,1,2632775.0
